,pais,ano,quant_kg,valor_us$,tipo
299,Camarões,2011,0,0,Vinhos de mesa
300,Canadá,2011,28906,128076,Vinhos de mesa
301,Catar,2011,0,0,Vinhos de mesa
302,"Cayman, Ilhas",2011,0,0,Vinhos de mesa
303,Chile,2011,0,0,Vinhos de mesa
304,China,2011,54156,334867,Vinhos de mesa
305,Chipre,2011,0,0,Vinhos de mesa
306,Cingapura,2011,911,3317,Vinhos de mesa
307,"Cocos (Keeling), Ilhas",2011,0,0,Vinhos de mesa
308,Colômbia,2011,0,0,Vinhos de mesa
309,Comores,2011,0,0,Vinhos de mesa
310,Congo,2011,360,570,Vinhos de mesa
311,"Coreia, Republica Sul",2011,0,0,Vinhos de mesa
312,Costa do Marfim,2011,0,0,Vinhos de mesa
313,Costa Rica,2011,0,0,Vinhos de mesa
314,Croácia,2011,0,0,Vinhos de mesa
315,Cuba,2011,2880,4899,Vinhos de mesa
316,Curaçao,2011,0,0,Vinhos de mesa
317,Dinamarca,2011,32797,83057,Vinhos de mesa
318,Dominica,2011,0,0,Vinhos de mesa
319,El Salvador,2011,0,0,Vinhos de mesa
320,Emirados Arabes Unidos,2011,2120,6594,Vinhos de mesa
321,Equador,2011,0,0,Vinhos de mesa
322,"Eslovaca, Republica",2011,0,0,Vinhos de mesa
323,Espanha,2011,5206,24618,Vinhos de mesa
324,Estados Unidos,2011,306787,1030254,Vinhos de mesa
325,Estônia,2011,450,5336,Vinhos de mesa
326,Filipinas,2011,0,0,Vinhos de mesa
327,Finlândia,2011,12404,50394,Vinhos de mesa
328,França,2011,0,0,Vinhos de mesa
329,Gana,2011,0,0,Vinhos de mesa
330,Gibraltar,2011,0,0,Vinhos de mesa
331,Granada,2011,0,0,Vinhos de mesa
332,Grécia,2011,0,0,Vinhos de mesa
333,Guatemala,2011,0,0,Vinhos de mesa
334,Guiana,2011,0,0,Vinhos de mesa
335,Guiana Francesa,2011,0,0,Vinhos de mesa
336,Guine Bissau,2011,0,0,Vinhos de mesa
337,Guine Equatorial,2011,956,1979,Vinhos de mesa
338,Haiti,2011,0,0,Vinhos de mesa
339,Honduras,2011,0,0,Vinhos de mesa
340,Hong Kong,2011,2063,7975,Vinhos de mesa
341,Hungria,2011,0,0,Vinhos de mesa
342,Ilha de Man,2011,0,0,Vinhos de mesa
343,Ilhas Virgens,2011,0,0,Vinhos de mesa
344,India,2011,0,0,Vinhos de mesa
345,Indonésia,2011,0,0,Vinhos de mesa
346,Irã,2011,0,0,Vinhos de mesa
347,Iraque,2011,0,0,Vinhos de mesa
348,Irlanda,2011,5376,35690,Vinhos de mesa
349,Itália,2011,11999,80298,Vinhos de mesa
350,Jamaica,2011,0,0,Vinhos de mesa
351,Japão,2011,100835,144662,Vinhos de mesa
352,Jordânia,2011,0,0,Vinhos de mesa
353,Letônia,2011,0,0,Vinhos de mesa
354,Líbano,2011,0,0,Vinhos de mesa
355,Libéria,2011,0,0,Vinhos de mesa
356,Luxemburgo,2011,9547,65592,Vinhos de mesa
357,Macau,2011,0,0,Vinhos de mesa
358,Malásia,2011,0,0,Vinhos de mesa
359,Malavi,2011,0,0,Vinhos de mesa
360,Malta,2011,0,0,Vinhos de mesa
361,"Marshall, Ilhas",2011,0,0,Vinhos de mesa
362,Martinica,2011,0,0,Vinhos de mesa
363,Mauritânia,2011,0,0,Vinhos de mesa
364,México,2011,1350,7200,Vinhos de mesa
365,Moçambique,2011,0,0,Vinhos de mesa
366,Montenegro,2011,0,0,Vinhos de mesa
367,Namíbia,2011,0,0,Vinhos de mesa
368,Nicarágua,2011,0,0,Vinhos de mesa
369,Nigéria,2011,54,210,Vinhos de mesa
370,Noruega,2011,10268,78688,Vinhos de mesa
371,Nova Caledônia,2011,0,0,Vinhos de mesa
372,Nova Zelândia,2011,2587,7992,Vinhos de mesa
373,Omã,2011,0,0,Vinhos de mesa
374,Países Baixos,2011,125414,395356,Vinhos de mesa
375,Palau,2011,0,0,Vinhos de mesa
376,Panamá,2011,0,0,Vinhos de mesa
377,Paraguai,2011,240168,276281,Vinhos de mesa
378,Peru,2011,0,0,Vinhos de mesa
379,Pitcairn,2011,0,0,Vinhos de mesa
380,Polônia,2011,11732,50684,Vinhos de mesa
381,Porto Rico,2011,0,0,Vinhos de mesa
382,Portugal,2011,95,1031,Vinhos de mesa
383,Quênia,2011,0,0,Vinhos de mesa
384,Reino Unido,2011,122629,285642,Vinhos de mesa
385,República Dominicana,2011,0,0,Vinhos de mesa
386,Rússia,2011,0,0,Vinhos de mesa
387,São Cristóvão e Névis,2011,0,0,Vinhos de mesa
388,São Tomé e Príncipe,2011,0,0,Vinhos de mesa
389,São Vicente e Granadinas,2011,0,0,Vinhos de mesa
390,Senegal,2011,0,0,Vinhos de mesa
391,Serra Leoa,2011,0,0,Vinhos de mesa
392,Singapura,2011,0,0,Vinhos de mesa
393,Suazilândia,2011,0,0,Vinhos de mesa
394,Suécia,2011,1641,14476,Vinhos de mesa
395,Suíça,2011,0,0,Vinhos de mesa
396,Suriname,2011,3774,3735,Vinhos de mesa
397,Tailândia,2011,0,0,Vinhos de mesa
398,Taiwan (Formosa),2011,4500,10600,Vinhos de mesa
399,Tanzânia,2011,0,0,Vinhos de mesa
400,"Tcheca, República",2011,6846,37271,Vinhos de mesa
401,Togo,2011,0,0,Vinhos de mesa
402,Toquelau,2011,0,0,Vinhos de mesa
403,Trinidade Tobago,2011,0,0,Vinhos de mesa
404,Tunísia,2011,0,0,Vinhos de mesa
405,Turquia,2011,0,0,Vinhos de mesa
406,Tuvalu,2011,0,0,Vinhos de mesa
407,Uruguai,2011,1238,4404,Vinhos de mesa
408,Vanuatu,2011,0,0,Vinhos de mesa
409,Venezuela,2011,0,0,Vinhos de mesa
410,Vietnã,2011,0,0,Vinhos de mesa
411,Afeganistão,2012,0,0,Vinhos de mesa
412,África do Sul,2012,0,0,Vinhos de mesa
413,"Alemanha, República Democrática",2012,8189,56342,Vinhos de mesa
414,Angola,2012,2833,8861,Vinhos de mesa
415,Anguilla,2012,0,0,Vinhos de mesa
416,Antígua e Barbuda,2012,0,0,Vinhos de mesa
417,Antilhas Holandesas,2012,9247,14081,Vinhos de mesa
418,Arábia Saudita,2012,0,0,Vinhos de mesa
419,Argentina,2012,0,0,Vinhos de mesa
420,Aruba,2012,0,0,Vinhos de mesa
421,Austrália,2012,9345,56045,Vinhos de mesa
422,Áustria,2012,0,0,Vinhos de mesa
423,Bahamas,2012,1374,12087,Vinhos de mesa
424,Bangladesh,2012,0,0,Vinhos de mesa
425,Barbados,2012,0,0,Vinhos de mesa
426,Barein,2012,0,0,Vinhos de mesa
427,Bélgica,2012,16132,90718,Vinhos de mesa
428,Belice,2012,0,0,Vinhos de mesa
429,Benin,2012,0,0,Vinhos de mesa
430,Bermudas,2012,0,0,Vinhos de mesa
431,Bolívia,2012,11868,16804,Vinhos de mesa
432,Bósnia-Herzegovina,2012,0,0,Vinhos de mesa
433,Brasil,2012,0,0,Vinhos de mesa
434,Bulgária,2012,0,0,Vinhos de mesa
435,Cabo Verde,2012,0,0,Vinhos de mesa
436,Camarões,2012,0,0,Vinhos de mesa
437,Canadá,2012,14304,146035,Vinhos de mesa
438,Catar,2012,0,0,Vinhos de mesa
439,"Cayman, Ilhas",2012,0,0,Vinhos de mesa
440,Chile,2012,8550,15438,Vinhos de mesa
441,China,2012,87905,642177,Vinhos de mesa
442,Chipre,2012,0,0,Vinhos de mesa
443,Cingapura,2012,1212,5310,Vinhos de mesa
444,"Cocos (Keeling), Ilhas",2012,0,0,Vinhos de mesa
445,Colômbia,2012,0,0,Vinhos de mesa
446,Comores,2012,0,0,Vinhos de mesa
447,Congo,2012,0,0,Vinhos de mesa
448,"Coreia, Republica Sul",2012,0,0,Vinhos de mesa
449,Costa do Marfim,2012,0,0,Vinhos de mesa
450,Costa Rica,2012,0,0,Vinhos de mesa
451,Croácia,2012,0,0,Vinhos de mesa
452,Cuba,2012,0,0,Vinhos de mesa
453,Curaçao,2012,0,0,Vinhos de mesa
454,Dinamarca,2012,4716,23802,Vinhos de mesa
455,Dominica,2012,0,0,Vinhos de mesa
456,El Salvador,2012,0,0,Vinhos de mesa
457,Emirados Arabes Unidos,2012,675,3300,Vinhos de mesa
458,Equador,2012,0,0,Vinhos de mesa
459,"Eslovaca, Republica",2012,0,0,Vinhos de mesa
460,Espanha,2012,0,0,Vinhos de mesa
461,Estados Unidos,2012,146585,303986,Vinhos de mesa
462,Estônia,2012,3321,19384,Vinhos de mesa
463,Filipinas,2012,0,0,Vinhos de mesa
464,Finlândia,2012,17100,67959,Vinhos de mesa
465,França,2012,195604,185791,Vinhos de mesa
466,Gana,2012,0,0,Vinhos de mesa
467,Gibraltar,2012,0,0,Vinhos de mesa
468,Granada,2012,0,0,Vinhos de mesa
469,Grécia,2012,0,0,Vinhos de mesa
470,Guatemala,2012,0,0,Vinhos de mesa
471,Guiana,2012,0,0,Vinhos de mesa
472,Guiana Francesa,2012,0,0,Vinhos de mesa
473,Guine Bissau,2012,0,0,Vinhos de mesa
474,Guine Equatorial,2012,819,2530,Vinhos de mesa
475,Haiti,2012,0,0,Vinhos de mesa
476,Honduras,2012,0,0,Vinhos de mesa
477,Hong Kong,2012,1609,7653,Vinhos de mesa
478,Hungria,2012,0,0,Vinhos de mesa
